X Y gold_grade
-2055.04 -25093.35 78.3343
-2236.65 -25023.98 36.8653
-2054.05 -25099.69 15.7425
-2162.61 -25058.09 38.7208
-2003.33 -25099.41 30.5519
-2234.86 -25026.79 36.1141
-2017.3 -25090.88 39.5299
-2062.02 -25099.93 44.2777
-2063.5 -25098.07 45.5983
-2192.96 -25050.96 31.5103
-2134.19 -25002.54 81.7896
-2166.76 -25068.14 70.1255
-2002.55 -25089.88 36.1821
-2000.26 -25046.19 20.9073
-2222.97 -25033.46 34.5437
-2031.38 -25096.32 36.7887
-2163.0 -25058.0 41.0805
-2013.65 -25121.55 41.4921
-2043.39 -25089.61 39.8286
-2026.38 -25096.5 20.6057
-2064.62 -25120.36 25.5414
-2048.64 -25111.5 19.1033
-2166.0 -25057.0 36.6472
-2045.36 -25134.42 115.326
-2019.17 -25070.21 26.4894
-2164.61 -25069.78 62.6138
-2126.14 -25037.01 99.0258
-2207.53 -25042.52 32.5956
-2242.61 -25021.07 56.3809
-2046.34 -25099.77 11.228
-2167.52 -25043.05 30.1846
-2065.96 -25102.73 43.8563
-2051.26 -25103.26 16.7862
-2043.99 -25096.53 14.6236
-2004.42 -25068.44 40.236
-2160.0 -25016.56 50.9408
-2020.34 -25126.5 35.5712
-2117.89 -25002.46 57.8527
-2159.79 -25011.01 31.2417
-1996.03 -25126.01 11.2726
-2006.2 -25096.15 37.6533
-2175.2 -25014.0 38.7103
-2130.72 -25005.82 37.3292
-2063.52 -25112.39 53.3467
-2050.7 -25084.48 24.9476
-2035.64 -25087.0 40.7953
-2000.83 -25126.68 13.0739
-2060.02 -25134.19 46.09
-2069.92 -25134.14 11.2594
-2007.31 -25090.65 53.893
-2206.55 -25043.68 28.8911
-1998.64 -25043.6 29.7304
-2169.09 -25053.56 33.4473
-2027.3 -25148.93 25.5855
-2157.29 -25046.42 28.0883
-2032.69 -25090.6 50.7139
-2012.4 -25090.89 83.8086
-2063.39 -25091.28 71.5572
-2149.86 -25033.68 52.258
-2123.48 -25032.74 63.7882
-2025.31 -25126.75 25.1356
-2162.26 -25070.22 89.1797
-2170.86 -25065.74 29.3571
-2186.28 -25054.71 49.2426
-2149.27 -25010.14 58.7871
-2050.01 -25093.63 47.3362
-2061.04 -25102.36 49.1675
-1995.52 -25099.52 15.9015
-2127.84 -25025.64 47.8664
-2203.96 -25045.83 23.011
-2152.17 -25050.23 16.0597
-2059.97 -25093.68 74.4208
-2159.2 -25036.96 63.0436
-2009.24 -25069.11 30.2008
-2149.68 -25051.71 24.7509
-2171.56 -25052.68 38.1714
-2154.75 -25035.81 39.3971
-2217.11 -25028.73 65.9752
-2040.22 -25134.79 89.6527
-2040.45 -25093.75 27.887
-2036.7 -25103.74 46.0141
-2173.06 -25064.57 25.4415
-1999.22 -25099.42 21.0683
-2143.34 -25053.49 39.419
-2058.46 -25112.11 24.8045
-2059.62 -25120.53 53.8907
-2203.5 -25018.79 13.8539
-2179.98 -25047.69 39.4438
-2034.76 -25093.24 35.1474
-2001.81 -25110.77 25.2386
-2178.71 -25048.73 39.4922
-2053.24 -25090.42 51.714
-1997.15 -25158.34 21.4846
-2123.66 -25012.6 44.6276
-2011.03 -25096.36 44.8388
-2038.32 -25096.38 27.9047
-2201.36 -25051.9 20.9615
-2114.22 -25005.44 65.0171
-1994.73 -25068.51 18.0552
-2022.56 -25090.94 35.0803
-2170.07 -25028.35 42.5016
-2226.27 -25031.76 58.1081
-2005.82 -25126.75 11.3522
-2163.41 -25035.4 35.0822
-2045.64 -25084.44 25.1018
-2065.03 -25093.62 82.5468
-2030.29 -25093.65 29.4868
-2207.77 -25034.22 29.5921
-2039.94 -25119.22 56.0209
-1999.66 -25067.89 30.7014
-2038.43 -25099.83 23.8644
-2107.66 -25002.04 30.5641
-2068.24 -25091.39 32.7564
-2192.21 -25027.73 44.8704
-2017.38 -25149.64 26.7048
-2163.94 -25019.65 87.8888
-2221.29 -25034.78 37.8654
-2199.83 -25039.86 37.6895
-2231.36 -25028.35 20.9494
-2212.59 -25030.95 57.1198
-2206.81 -25052.05 45.3687
-2182.93 -25056.95 38.2235
-2010.98 -25099.7 36.5627
-2183.01 -25008.37 38.9732
-2026.68 -25099.83 25.7977
-1999.08 -25148.48 29.8889
-2056.09 -25102.93 32.1427
-2069.78 -25099.77 48.6919
-2029.33 -25071.26 31.1945
-1996.46 -25148.72 42.8006
-2168.28 -25067.87 56.8825
-2204.79 -25044.47 28.2157
-2015.51 -25126.23 40.7691
-2173.83 -25050.91 23.3842
-2055.15 -25134.13 141.0306
-2189.62 -25052.88 33.6857
-2188.11 -25030.71 33.4119
-2153.71 -25030.74 57.7778
-2154.79 -25048.17 22.2454
-2147.48 -25014.86 57.6187
-2199.88 -25047.37 25.2703
-2016.17 -25096.54 33.4902
-2018.72 -25121.77 21.7658
-2034.17 -25072.08 41.4194
-2021.3 -25096.41 23.7532
-2022.78 -25099.82 22.7532
-2141.99 -25044.36 81.8466
-2055.48 -25084.45 44.6131
-2181.65 -25046.75 28.5726
-2039.59 -25089.35 35.6755
-2030.23 -25126.46 34.2744
-2058.07 -25099.75 34.5982
-2026.16 -25109.13 32.8289
-2048.59 -25096.8 17.8595
-2068.81 -25098.45 36.6994
-2006.5 -25109.48 37.5505
-2179.47 -25059.0 62.7986
-2020.05 -25093.28 41.3803
-2236.36 -25025.9 44.1895
-2121.17 -25028.39 80.2994
-2161.53 -25015.22 29.8661
-2224.6 -25032.6 73.8457
-2031.62 -25109.25 56.4186
-2057.61 -25076.74 38.3373
-2022.58 -25121.59 50.7114
-2175.56 -25063.23 35.3062
-2166.45 -25055.11 21.1917
-2239.86 -25023.71 43.1866
-1993.36 -25043.95 31.2992
-2198.15 -25048.13 29.7671
-2121.13 -25014.86 130.879
-2026.76 -25121.28 52.9381
-2010.19 -25093.57 48.987
-2182.91 -25046.16 45.3063
-2171.7 -25040.0 52.4565
-2127.14 -25009.17 29.6875
-1997.79 -25089.48 39.4028
-2174.63 -25063.83 20.9984
-1997.13 -25112.81 30.1053
-2152.75 -25037.35 51.8072
-2012.52 -25150.1 32.5355
-2131.76 -25022.75 50.9562
-2014.33 -25069.54 32.0427
-2163.77 -25021.09 42.7567
-2010.69 -25126.34 22.0468
-2139.93 -25056.99 33.91
-2049.59 -25119.85 37.3654
-2016.31 -25109.03 76.7371
-2048.45 -25089.87 31.6832
-2135.64 -25019.68 28.4336
-2178.08 -25053.24 37.4542
-2145.63 -25036.16 75.0131
-2002.73 -25150.91 24.8482
-2043.81 -25111.27 85.0077
-2170.15 -25052.92 22.8328
-2069.63 -25093.85 67.3505
-2161.93 -25036.58 41.71
-2014.92 -25099.83 51.6824
-2042.54 -25075.94 23.6772
-2036.24 -25096.33 46.6992
-2194.43 -25049.82 28.7278
-2060.48 -25084.51 83.7949
-2157.78 -25028.28 41.298
-2241.27 -25022.4 40.7175
-2065.39 -25084.89 58.7801
-2042.35 -25099.99 26.2574
-2200.25 -25055.76 40.7224
-2201.6 -25046.26 31.2857
-2069.51 -25119.57 26.354
-2031.72 -25103.77 31.7307
-2177.86 -25060.22 27.41
-2073.12 -24932.47 28.2965
-2035.8 -24983.92 15.7221
-2002.88 -24937.13 53.3057
-2052.25 -24835.96 45.8437
-2012.2 -24926.44 54.5389
-2036.61 -24909.67 13.1909
-2110.74 -24998.45 46.6098
-2026.81 -24879.22 34.1742
-2076.47 -24878.89 23.1039
-2153.22 -24986.77 40.3272
-2045.15 -24905.34 17.8666
-2014.18 -24766.9 24.9393
-2026.03 -24820.27 20.5227
-2081.78 -24916.96 41.6167
-2045.9 -24894.26 14.7174
-2088.21 -24934.46 12.1303
-2052.64 -24921.29 35.8109
-2030.01 -24803.09 35.1653
-2096.68 -24906.19 50.8884
-2017.86 -24882.74 60.3815
-1994.62 -24813.34 13.3793
-2110.32 -24974.19 10.3779
-2085.58 -24875.98 12.6481
-2001.36 -24862.94 28.7368
-1999.44 -24939.54 104.826
-2047.3 -24871.11 14.2855
-2037.44 -24898.24 9.8754
-2024.62 -24967.96 86.0974
-2046.13 -24902.52 22.7353
-2100.63 -24975.25 23.0779
-2053.93 -24900.78 34.5827
-1997.9 -24753.29 54.3798
-2090.97 -24888.65 23.3344
-2051.04 -24914.34 14.8874
-2092.6 -24894.17 30.9982
-2018.39 -24811.36 59.5823
-2003.84 -24930.31 45.5899
-2116.68 -24961.48 51.7957
-2081.73 -24891.07 32.216
-2015.48 -24931.69 29.6316
-2000.36 -24932.02 72.2266
-2010.65 -24770.36 31.133
-2008.61 -24968.99 42.3589
-1994.86 -24907.91 95.0387
-2082.17 -24969.82 11.9462
-2019.43 -24994.0 72.5519
-2056.98 -24834.87 38.191
-2020.86 -24969.88 69.9738
-2019.31 -24856.3 26.4805
-2029.49 -24817.09 10.5899
-2000.6 -24788.29 112.2652
-2049.6 -24902.99 13.6918
-2047.09 -24916.69 22.9983
-2052.7 -24933.89 52.2719
-2014.97 -24814.46 38.592
-2074.47 -24916.44 54.8031
-2016.0 -24982.0 55.6553
-2066.11 -24916.5 31.5415
-2050.43 -24900.79 27.3634
-2091.95 -24901.58 35.7749
-2014.6 -24858.45 38.5988
-2072.11 -24881.09 32.3909
-2052.4 -24897.11 42.1495
-2059.97 -24944.26 31.7851
-2044.26 -24926.03 24.5286
-2047.51 -24912.13 18.8697
-2010.42 -24938.46 30.2896
-2014.65 -24953.16 64.7995
-2094.81 -24899.39 47.964
-2003.85 -24942.75 35.669
-1999.56 -24906.91 47.4971
-2079.01 -24908.18 48.7906
-2036.26 -24934.48 28.5244
-2018.61 -24950.46 88.8714
-2084.44 -24898.9 58.0557
-2031.39 -24936.41 33.4824
-2024.78 -24756.49 31.2332
-2067.96 -24831.83 28.8683
-2021.93 -24808.35 56.1013
-2021.06 -24964.03 90.3134
-2021.24 -24759.96 35.8073
-2070.92 -24912.6 59.3017
-2010.23 -24860.32 27.57
-2019.72 -24974.26 69.7446
-2044.61 -24871.28 10.9119
-2094.18 -24886.54 32.4668
-2081.62 -24893.78 35.4505
-2040.92 -24907.53 19.9684
-2067.9 -24882.95 20.2732
-2099.56 -24937.05 18.7283
-2106.59 -24930.43 8.1284
-2022.23 -24823.6 23.4657
-1999.48 -24780.07 50.129
-2092.48 -24908.87 77.349
-2005.33 -24861.93 37.3004
-2075.93 -24903.46 24.0326
-2079.94 -24900.68 35.9676
-2042.53 -24933.18 35.4809
-2018.0 -24978.0 38.467
-2052.43 -24897.21 26.9691
-2010.03 -24940.2 19.5882
-2109.82 -24926.97 10.4779
-2028.48 -24965.41 75.1837
-2004.39 -24905.63 41.3632
-2048.57 -24924.19 48.0867
-2039.51 -24902.98 15.5544
-2039.04 -24916.67 14.8255
-1998.47 -24810.64 10.9222
-1993.4 -24935.9 219.6609
-2041.82 -24896.6 11.3551
-1998.45 -24932.85 71.9192
-2036.54 -24928.97 22.9458
-1995.24 -24934.95 65.8546
-2115.21 -24973.96 10.6739
-2077.47 -24896.55 34.8996
-2064.5 -24923.68 21.6675
-2127.33 -24969.09 34.8274
-2001.02 -24750.54 60.8228
-2089.58 -24888.66 31.8498
-2022.0 -24970.0 78.6794
-2055.93 -24919.98 52.5794
-2054.87 -24899.26 24.7133
-2135.0 -24962.86 33.0293
-2079.2 -24917.85 38.9428
-2033.32 -24900.63 20.005
-2088.17 -24911.16 35.0523
-2120.11 -24973.83 19.6005
-1997.68 -24897.58 92.9953
-1996.7 -24933.65 113.5536
-2041.42 -24903.97 22.1901
-2047.56 -24837.16 30.5021
-2073.18 -24895.77 47.5698
-2014.08 -24940.69 20.363
-2026.14 -24806.09 73.852
-2035.68 -24875.64 21.2927
-2069.07 -24898.07 23.7823
-2089.94 -24886.14 18.7927
-2037.02 -24906.76 17.6592
-2125.15 -24973.6 71.3617
-2083.15 -24932.9 17.4754
-2008.95 -24783.49 45.8782
-2047.92 -24898.62 18.1393
-2065.2 -24938.7 28.3981
-2081.12 -24877.89 25.8926
-2033.12 -24814.06 37.4501
-2124.71 -24950.86 80.3098
-2070.06 -24913.3 30.4846
-2013.67 -24925.32 38.5067
-2010.43 -24927.36 39.9892
-2085.81 -24888.56 32.5915
-2095.59 -24975.57 20.3596
-2155.8 -24984.96 35.723
-2034.76 -24918.89 24.8725
-2081.77 -24964.63 14.587
-2102.86 -24933.58 16.3615
-2080.76 -24966.34 12.2809
-2065.01 -24921.62 22.1589
-2014.39 -24883.82 62.7177
-2048.34 -24934.02 71.8367
-2013.41 -24934.78 21.8525
-2085.35 -24890.96 21.973
-2035.13 -24905.3 34.11
-2028.1 -24919.41 20.4041
-2023.98 -24854.72 20.5942
-2031.89 -24986.52 27.503
-2025.19 -24961.31 92.979
-1992.76 -24889.79 64.5131
-2015.35 -24973.88 54.0011
-1993.08 -24792.43 57.3339
-2031.13 -24907.92 23.4753
-1993.34 -24899.29 75.9679
-2028.53 -24852.85 18.8414
-2050.49 -24892.77 15.2018
-2017.71 -24763.43 42.0638
-2017.56 -24974.3 74.405
-2043.04 -24914.12 20.7824
-1997.31 -24790.17 86.3416
-2007.0 -24928.81 58.4931
-2032.87 -24909.58 18.1335
-2049.4 -24937.24 58.3367
-2008.76 -24927.99 60.7627
-2028.02 -24989.42 48.1139
-2018.19 -24938.32 16.9288
-1995.09 -24942.09 101.4124
-2069.64 -24935.48 36.7185
-2029.99 -24902.95 18.9273
-2117.96 -24957.47 49.1521
-2009.36 -24955.29 51.7721
-2083.24 -24905.93 39.6139
-2004.38 -24955.01 74.3514
-2015.6 -24924.84 61.3962
-2017.58 -24967.67 45.2843
-2005.47 -24929.76 49.7611
-2001.92 -24931.3 57.3045
-2012.28 -24973.84 32.2181
-2002.36 -24808.17 59.3447
-2105.26 -24974.7 11.383
-1999.77 -24944.9 86.3942
-2061.79 -24941.41 30.4403
-2023.9 -24992.0 57.5233
-2060.21 -24928.31 107.2823
-2013.37 -24967.84 47.9636
-2006.35 -24805.89 30.6395
-2087.77 -24903.82 66.6368
-2051.79 -24909.71 11.111
-2039.7 -24927.68 20.7196
-2130.91 -24965.76 44.1296
-2020.0 -24974.0 62.1843
-2073.54 -24899.02 40.9841
-2092.98 -24936.03 12.2734
-2126.59 -24973.45 64.8677
-2043.64 -24900.46 20.3542
-2022.21 -24880.82 72.1678
-2088.57 -24896.57 33.8521
-1995.0 -24782.0 34.9405
-2121.19 -24953.94 59.7308
-2033.77 -24800.66 14.684
-2038.46 -24921.03 26.6775
-2083.79 -24913.25 34.1007
-2034.07 -24923.29 36.7844
-2031.46 -24877.6 54.984
-2077.35 -24893.26 23.9535
-2040.02 -24873.24 9.7658
-2004.86 -24786.0 69.8157
-2042.63 -24918.81 19.0583
-2024.0 -24966.0 56.6884
-2022.47 -24947.53 65.6207
-2098.4 -24939.42 41.0883
-2004.14 -24747.8 61.9147
-2007.74 -24745.82 42.9413
-2012.3 -24742.29 63.4944
-1996.02 -24732.62 49.025
-2009.42 -24743.87 41.838
-1998.93 -24729.41 81.9012
-1993.1 -24735.84 36.2887
-1887.96 -25538.95 13.5967
-1957.41 -25543.83 48.7733
-1911.46 -25556.68 11.7368
-1903.86 -25557.71 23.8248
-1977.84 -25520.67 41.4394
-1757.56 -25564.12 28.5582
-1964.63 -25583.84 28.7505
-1973.4 -25529.0 35.0703
-1910.67 -25534.54 14.2096
-1964.22 -25527.35 18.959
-1908.22 -25555.93 12.7487
-1753.52 -25564.62 22.3271
-1894.62 -25561.34 13.1848
-1898.4 -25559.96 26.3212
-1923.7 -25549.3 26.4082
-1915.09 -25554.98 25.4305
-1892.79 -25562.2 17.6526
-1937.32 -25542.05 38.4922
-1884.22 -25540.52 15.4458
-1955.13 -25587.39 39.3049
-1945.8 -25535.07 57.6421
-1945.63 -25590.95 30.3433
-1941.63 -25602.07 32.4345
-1941.03 -25544.18 57.2142
-1956.35 -25600.07 35.1079
-1966.0 -25532.0 17.9138
-1910.31 -25555.04 10.3371
-1937.24 -25545.78 46.7884
-1900.15 -25559.23 44.7593
-1906.95 -25549.28 16.1932
-1913.86 -25553.31 16.7306
-1950.35 -25588.68 33.5586
-1983.62 -25519.22 11.7314
-1946.53 -25602.07 16.777
-1918.74 -25550.86 14.8022
-1973.92 -25523.29 42.6295
-1912.18 -25554.18 21.2902
-1926.14 -25550.38 20.4687
-1922.48 -25551.88 25.3176
-1975.98 -25595.07 41.6686
-1955.0 -25537.0 49.1665
-1954.52 -25531.42 46.1307
-1912.82 -25548.89 8.7685
-1939.41 -25538.89 30.0569
-1907.8 -25557.93 16.2877
-1878.61 -25542.87 9.0298
-1949.67 -25533.45 56.4059
-1887.92 -25522.68 50.285
-1959.37 -25529.38 36.4748
-1973.22 -25581.33 20.1414
-1952.75 -25545.98 34.3406
-1951.0 -25539.0 120.8014
-1951.44 -25601.07 16.5735
-1944.61 -25542.63 35.51
-1919.77 -25531.28 10.5235
-1977.0 -25528.0 38.8308
-1909.8 -25555.78 11.8267
-1978.77 -25521.26 25.0378
-1980.6 -25527.0 32.7391
-1918.72 -25553.38 16.9086
-1966.17 -25598.07 35.6659
-1943.43 -25550.29 18.1851
-1984.4 -25526.0 9.0288
-1907.97 -25550.92 14.0999
-1972.06 -25596.07 41.5098
-1988.47 -25517.19 7.6803
-1961.26 -25599.07 58.7253
-1948.09 -25548.13 25.5395
-1946.0 -25541.0 52.4789
-1977.94 -25579.06 25.2168
-1742.67 -25574.56 22.1339
-1929.72 -25548.91 34.9878
-1982.8 -25519.1 12.1393
-1988.0 -25525.0 14.2842
-1969.07 -25525.32 42.0864
-1746.4 -25571.36 11.5489
-1915.22 -25532.91 18.8142
-1969.4 -25530.0 28.3738
-1905.76 -25556.97 20.361
-1914.27 -25553.32 14.4521
-1896.6 -25560.65 26.2671
-1964.43 -25528.05 26.7659
-1980.89 -25594.07 31.4157
-1906.12 -25536.17 11.5883
-1874.88 -25544.43 11.3137
-1902.06 -25558.49 31.3565
-1968.44 -25582.62 21.7605
-1973.37 -25523.13 50.5976
-1959.91 -25586.11 30.1377
-1933.38 -25547.33 22.9377
-1917.67 -25546.86 12.728
-1749.86 -25567.85 30.9712
-1941.82 -25592.17 22.0511
-1968.9 -25525.59 44.9726
-1938.77 -25552.44 19.5069
-1958.4 -25536.0 41.0048
-1933.68 -25553.66 23.2947
-1962.0 -25534.0 16.8542
-1890.81 -25563.06 20.0661
-1955.4 -25140.89 46.2759
-1914.98 -25137.44 32.0271
-1852.08 -25017.15 32.2755
-1881.37 -25148.41 18.8661
-1852.2 -25050.7 88.3805
-1887.24 -25048.7 48.1443
-1878.22 -25177.86 21.1329
-1954.92 -25121.35 35.2643
-1922.91 -25158.63 88.5708
-1866.0 -25034.0 23.2522
-1889.17 -25135.98 67.1897
-1899.88 -25136.0 61.887
-1766.37 -25014.4 44.99
-1897.49 -25099.93 86.4006
-1887.01 -25035.26 55.9637
-1877.95 -25100.13 47.7046
-1966.08 -25077.82 97.1759
-1917.88 -25158.86 87.3083
-1909.16 -25099.53 42.1044
-1879.57 -25135.34 61.0241
-1861.99 -25196.62 53.8402
-1962.78 -25161.06 12.1055
-1967.6 -25089.53 59.2021
-1910.02 -25150.42 20.8634
-1967.44 -25126.85 30.0876
-1983.53 -25045.19 91.9862
-1861.0 -25034.0 14.5761
-1969.89 -25070.37 48.4576
-1943.17 -25087.4 33.162
-1978.83 -25045.72 23.3961
-1958.67 -25141.44 35.2316
-1992.51 -25158.47 13.5038
-1919.85 -25150.63 34.2302
-1884.94 -25060.92 38.5581
-1883.73 -25103.53 92.4899
-1863.75 -25210.36 96.1722
-1744.39 -25123.74 64.6711
-1849.45 -25132.99 79.6791
-1892.22 -25049.18 44.978
-1869.47 -25134.59 31.9493
-1955.0 -25087.87 85.9117
-1861.37 -25042.67 43.8838
-1933.13 -25087.03 52.3965
-1894.1 -25136.38 72.256
-1929.78 -25150.54 58.5008
-1852.92 -25016.72 38.3736
-1907.92 -25157.53 62.8571
-1889.48 -25112.23 62.5184
-1977.04 -25053.46 33.1417
-1913.06 -25099.56 47.1345
-1964.15 -25099.67 96.5176
-1960.13 -25099.48 37.1787
-1972.11 -25053.72 57.1196
-1905.19 -25150.31 25.2864
-1771.36 -25013.23 32.2249
-1987.36 -25159.73 21.4638
-1905.22 -25099.37 80.7816
-1840.36 -25071.41 51.4478
-1901.53 -25112.79 183.7353
-1878.03 -25182.75 66.9047
-1876.61 -25147.88 23.1569
-1936.65 -25099.61 22.2039
-1944.65 -25099.4 17.2412
-1928.03 -25158.38 56.3909
-1958.19 -25158.72 35.3033
-1948.42 -25099.56 21.1617
-1886.58 -25148.63 21.4476
-1943.76 -25113.19 8.1145
-1872.0 -25034.0 47.9266
-1987.64 -25099.75 26.8459
-1895.38 -25103.81 92.9094
-1948.24 -25112.83 23.8159
-1959.21 -25162.74 26.5683
-1877.44 -25174.31 30.7487
-1877.39 -25042.8 31.0696
-1960.55 -25104.43 46.1369
-1956.14 -25099.58 153.0236
-1851.35 -25042.59 51.7704
-1982.55 -25160.32 42.9137
-1967.2 -25151.16 12.3004
-1851.38 -25073.94 92.9035
-1828.54 -25043.97 65.7441
-1953.07 -25104.99 51.2937
-1984.69 -25069.02 42.7739
-1896.19 -25112.8 76.5328
-1866.84 -25172.52 37.65
-1932.8 -25099.53 27.5624
-1986.75 -25125.75 16.4027
-1857.02 -25142.94 77.6361
-1776.33 -25011.06 18.5275
-1861.83 -25012.19 25.5261
-1882.25 -25048.23 34.866
-1988.61 -25044.67 65.1054
-1975.86 -25099.67 87.4607
-1863.69 -25187.07 47.0985
-1882.0 -25034.0 35.2659
-1881.89 -25099.79 72.1611
-1880.09 -25071.14 38.0606
-1973.6 -25045.71 35.8258
-1884.91 -25027.63 18.5837
-1847.68 -25070.57 90.9628
-1976.92 -25150.27 58.8257
-1852.61 -25141.24 89.7296
-1889.77 -25062.42 42.4773
-1911.34 -25112.29 49.5248
-1866.36 -25146.41 32.3419
-1924.64 -25138.58 29.2124
-1963.33 -25094.45 107.3696
-1850.21 -25072.36 111.6016
-1893.52 -25099.67 125.1184
-1958.6 -25089.89 75.9868
-1855.13 -25072.84 110.1146
-1870.71 -25008.64 28.6094
-1864.16 -25089.63 23.5574
-1904.85 -25136.46 36.0936
-1952.94 -25087.67 29.6901
-1877.69 -25192.18 76.5935
-1865.82 -25101.84 61.0759
-1924.71 -25099.46 24.7223
-1860.81 -25012.3 27.7633
-1864.76 -25182.15 34.5666
-1863.01 -25191.83 64.998
-1901.26 -25099.81 80.7529
-1962.3 -25127.18 26.8949
-1934.07 -25113.84 13.7087
-1948.92 -25159.12 83.5366
-1906.56 -25112.46 89.2106
-1982.12 -25125.45 26.5438
-1952.4 -25099.7 61.8759
-1940.46 -25140.9 69.5396
-1823.55 -25044.4 64.5916
-1877.88 -25196.8 27.4778
-1902.91 -25158.18 35.6215
-1971.04 -25077.96 112.0223
-1980.98 -25077.88 127.3215
-1938.98 -25113.61 8.9566
-1744.07 -25110.84 105.1256
-1847.15 -25050.88 147.1702
-1938.11 -25087.24 53.5459
-1935.27 -25141.2 52.0446
-1981.7 -25149.71 91.8604
-1879.71 -25103.21 209.365
-1948.04 -25087.68 38.8755
-1992.01 -25125.72 14.6877
-1884.82 -25072.61 51.1293
-1891.73 -25103.71 72.9011
-1943.99 -25159.87 65.8377
-1856.0 -25034.0 35.0531
-1864.98 -25073.8 53.0834
-1967.72 -25160.68 30.8487
-1889.8 -25099.81 52.2405
-1919.67 -25138.04 25.0717
-1899.39 -25104.26 106.8594
-1970.37 -25104.15 109.5362
-1885.85 -25099.8 94.6075
-1968.02 -25099.48 42.1008
-1983.72 -25099.89 32.3078
-1856.36 -25042.63 34.8313
-1991.5 -25149.2 28.4499
-1972.43 -25126.42 32.8327
-1940.51 -25099.54 16.4796
-1861.85 -25145.27 44.535
-1874.53 -25134.79 20.2653
-1928.24 -25086.55 104.8892
-1986.16 -25077.63 93.3287
-1869.4 -25101.74 53.7617
-1865.79 -25010.4 17.0039
-1845.29 -25071.89 64.3576
-1857.25 -25050.52 79.1697
-1887.86 -25103.64 67.2792
-1860.06 -25073.32 63.9314
-1920.87 -25099.8 25.4277
-1912.83 -25157.94 57.9289
-1854.41 -25078.05 69.5201
-1977.46 -25160.42 31.5625
-1972.6 -25160.53 21.1339
-1914.96 -25150.73 35.8634
-1917.13 -25099.82 29.6
-1971.89 -25099.49 86.8521
-1878.06 -25187.42 46.4762
-1991.63 -25099.78 16.2608
-1866.35 -25050.21 74.0193
-1986.7 -25052.95 24.6549
-1900.04 -25149.9 29.5285
-1977.08 -25126.11 26.6451
-1848.59 -25137.45 79.6763
-1785.28 -25007.76 33.3673
-1909.99 -25137.0 20.1898
-1934.17 -25161.0 75.9741
-1889.55 -25074.09 81.5173
-1920.98 -25111.56 13.0814
-1929.09 -25114.09 17.0406
-1880.12 -25059.42 52.6776
-1864.49 -25133.9 24.0882
-1871.4 -25050.03 54.4442
-1980.07 -25099.67 33.6355
-1865.66 -25010.75 12.4324
-1833.53 -25043.54 130.5408
-1865.76 -25177.29 43.0817
-1903.3 -25103.99 190.1513
-1929.25 -25138.91 35.7025
-1990.9 -25077.81 58.3982
-1889.71 -25028.13 16.1271
-1892.02 -25036.33 61.4324
-1975.17 -25103.75 58.5967
-1945.37 -25140.68 42.7709
-1884.41 -25135.62 200.3086
-1916.0 -25112.06 31.4423
-1854.44 -25133.47 49.2552
